"Borough","Facility Name","Street Address","City","Postcode","State","Phone Number(s)","Comments","Latitude","Longitude","Community Board","Council District ","Census Tract","BIN","BBL","NTA"
"Bronx","Crotona SNAP Center","1910 Monterey Avenue, 5th Fl.","Bronx","10457","NY","929-252-7436","Monday – Friday 8:30am to 5:00pm; This center includes a children's area that does not provide supervision.","40.846932","-73.895099","206","15","37504","2011826","2030600032","BX0602"
"Bronx","Hunts Point SNAP Center","845 Barretto Street, B-Level Fl.","Bronx","10474","NY","929-252-4445","Work Requirements (8:30am to 9:00am only); Monday – Friday 8:30am to 5:00pm","40.817656","-73.890358","202","17","9301","2005939","2027390015","BX0201"
"Brooklyn","Coney Island SNAP Center","1912 Mermaid Avenue, 1st & 2nd Fl.","Brooklyn","11224","NY","929-221-3537","Monday - Friday 8:30am to 5:00pm; This center includes a children's area that does not provide supervision.","40.576475","-73.98608","313","47","326","3426189","3070607501","BK1302"
"Brooklyn","East New York SNAP Center","2400 Fulton Street. 3rd and 4th Flr.","Brooklyn","11233","NY","929-221-8327","Monday – Friday 8:30am to 5:00pm; This center includes a children's area that does not provide supervision.","40.677933","-73.904684","316","37","367",,,"BK16"
"Brooklyn","Williamsburg SNAP Center","2 George Street, 1st Fl.","Brooklyn","11206","NY","212-331-4314","Monday – Friday 8:30am to 5:00pm; This center includes a children's area that does not provide supervision.","40.700282","-73.932552","304","34","425","3071940","3031560001","BK0401"
"Manhattan","East End SNAP Center","2322 Third Avenue, 3rd Fl.","New York","10035","NY","212-274-4895","Monday – Friday 8:30am to 5:00pm; This center includes a Children's Corner, which provides supervision during limited hours.","40.804465","-73.93526","111","8","242","1054497","1017750033","MN1102"
"Manhattan","Washington Heights SNAP Center","4055 10th Avenue, Lower Level","New York","10034","NY","212-331-3948","Monday – Friday 8:30am to 5:00pm; This center includes a Children's Corner, which provides supervision during limited hours.","40.870388","-73.914561","112","10","299","1064513","1022130001","MN1203"
"Manhattan","HRA Benefits Access Center Lower Manhattan","109 E. 16th Street","New York","10003","NY","212-274-6050","Monday - Friday 8:30am to 5:00pm; SNAP services are available on 1st floor; This center includes a Children's Corner, which provides supervision during limited hours","40.735681","-73.988713","105","2","50","1017821","1008720013","MN0602"
"Manhattan","HRA Benefits Access Center St. Nicholas","132 W. 125th Street, 4th Fl.","New York","10027","NY","212-274-5162","Monday - Friday 8:30am to 5:00pm; SNAP services are available on the 4th floor.","40.808451","-73.947112","110","9","222","1057820","1019090012","MN1001"
"Queens","Jamaica SNAP Center","165-08 88th Avenue, 3rd Fl.","Queens","11432","NY","929-252-3711","Monday - Friday 8:30am to 5:00pm; This center includes a Children's Corner, which provides supervision during limited hours.","40.708661","-73.796703","412","24","460","4210062","4098150056","QN1201"
"Queens","Queens SNAP Center","32-20 Northern Blvd., 2nd Fl.","Queens","11101","NY","718-784-6315 / 718-637-2592","Monday – Friday 8:30am to 5:00pm; (Entrance on One Honeywell Street); This center includes a Children's Corner, which provides supervision during limited hours.","40.75197","-73.931799","401","26","17102","4003105","4002147501","QN0161"
"Queens","Rockaway SNAP Center","219 Beach 59th Street, 1st Fl.,","Queens","11692","NY","718-637-2750","Monday – Friday 8:30am to 5:00pm; This center includes a Children's Corner, which provides supervision during limited hours.","40.592902","-73.789051","414","31","964","4301932","4159000008","QN1402"
"Staten Island","Richmond SNAP Center","201 Bay Street, 2nd Fl.","Staten Island","10301","NY","718-390-6994","Monday – Friday 8:30am to 5:00pm","40.636992","-74.076212","501","49","21","5013238","5004970009","SI0102"
